country,population,gdp_per_capita_scaled,health_expenditure_per_person_scaled,government_effectiveness_scaled,womenMPs_scaled,TotalCases_scaled,TotalDeaths_scaled,TotalCasesPerM_scaled,DeathsPerM_scaled,TotalTests_scaled,TestsPerM_scaled,age_over_65_percentage_scaled,percentageDied_scaled,gdp_per_capita,health_expenditure_per_person,government_effectiveness,womenMPs,TotalCases,TotalDeaths,TotalCasesPerM,DeathsPerM,TotalTests,TestsPerM,age_over_65_percentage,percentageDied
Moldova,3600000,0.011610339,0.04519475,0.218390805,0.466257669,0.002030943,0.001411318,0.099297171,0.031242976,0.001852123,0.020417682,0.39184598,0.16,5328,515,-0.51,22.8,2264,56,561,14,9848,2441,11.47,2.47
Morocco,36000000,0.0358652,0.03672735,0.318965517,0.419222904,0.00246062,0.003555435,0.010632546,0.008766015,0.002738082,0.002366516,0.223480559,0.34,8330,435,-0.16,20.5,2564,135,69,4,12952,351,7.01,5.27
Netherlands,17000000,0.381016248,0.553027096,0.896551724,0.736196319,0.042399148,0.093771204,0.318435754,0.453809845,0.043256734,0.077421361,0.683654209,0.75,51049,5313,1.85,36,30449,3459,1777,202,154911,9041,19.2,11.36
New Zealand,4700000,0.269881796,0.364309907,0.873563218,0.699386503,0.000806362,0.000189985,0.050819968,0.004270623,0.020277165,0.132594013,0.549641374,0.04,37294,3530,1.77,34.2,1409,11,292,2,74401,15429,15.65,0.78
Norway,5000000,0.528072458,0.649237934,0.933908046,0.809815951,0.008723886,0.004261094,0.228870067,0.067206114,0.037926421,0.216380785,0.602491506,0.15,69250,6222,1.98,39.6,6937,161,1280,30,136236,25130,17.05,2.32
Pakistan,197000000,0.009816675,0.004868755,0.198275862,0.421267894,0.008849925,0.003555435,0.003964678,0.001123848,0.023217899,0.002642898,0.121555304,0.12,5106,134,-0.58,20.6,7025,135,32,0.6,84704,383,4.31,1.92
Panama,4000000,0.154586367,0.154000847,0.367816092,0.374233129,0.004540259,0.002849776,0.165975852,0.055967633,0.004136094,0.0350659,0.264628162,0.17,23024,1543,0.01,18.3,4016,109,931,25,17850,4137,8.1,2.71
Peru,32000000,0.072813063,0.061706181,0.327586207,0.566462168,0.018108044,0.008033654,0.071904848,0.020004495,0.035436659,0.032733931,0.264250661,0.14,12903,671,-0.13,27.7,13489,300,409,9,127513,3867,8.09,2.22
Philippines,105000000,0.031001301,0.024872989,0.347701149,0.603271984,0.007207125,0.010394898,0.007929357,0.008766015,0.012790466,0.003135202,0.15213288,0.43,7728,323,-0.06,29.5,5878,387,54,4,48171,440,5.12,6.58
Poland,38000000,0.192883517,0.17104149,0.545977011,0.572597137,0.010789203,0.008902158,0.038024869,0.020004495,0.050319005,0.040334422,0.620234051,0.26,27764,1704,0.63,28,8379,332,221,9,179654,4747,17.52,3.96
Portugal,10000000,0.202328531,0.272332769,0.747126437,0.711656442,0.02603273,0.017722893,0.33447468,0.143627782,0.062134174,0.186566133,0.787466969,0.22,28933,2661,1.33,34.8,19022,657,1866,64,221049,21678,21.95,3.45
Qatar,2600000,1,0.403471634,0.577586207,0,0.005466931,8.14E-05,0.289962155,0.004270623,0.015689528,0.174189425,0.010570026,0,127660,3900,0.74,0,4663,7,1619,2,58328,20245,1.37,0.15
